,Birth_rate,Business_Tax_Rate,Co2_Emmissions,Days_to_Start_Business,Ease_of_business,Energy_Usage,GDP,Health_Exp_percent_gdp,Health_exp_capita,Hours_to_tax,Infant_Mortality_Rate,Internet_Usage,Lending_Interest,Life_Expectancy_Female,Life_Expectancy_Male,Mobile_Phone_Usage,Population_0_14,Population_15_64,Population_65_plus,Population_Total,Population_Urban,Tourism_Inbound,Tourism_Outbound,pop
620,0.014,41.92857142857143,5650950.0,26.0,78.28571428571429,2255957.0,10980200000000.0,0.151,5578.0,269.57142857142856,0.007,0.6,0.047,80.0,74.0,0.5,0.21,0.667,0.123,287625193.0,0.794,104427000000.0,81860000000.0,1.0
621,0.016,43.58571428571429,4620.0,55.57142857142857,124.57142857142857,2538.0,13606494599.0,0.11,449.0,289.0,0.014,0.1,1.184,79.0,71.0,0.2,0.243,0.624,0.133,3327500.0,0.926,409000000.0,243000000.0,1.0
622,0.023,42.98571428571428,193262.0,37.285714285714285,101.71428571428571,57515.0,92889586976.0,0.057,207.0,251.14285714285714,0.017,0.0,0.366,76.0,70.0,0.3,0.327,0.625,0.047,25333622.0,0.884,484000000.0,1546000000.0,0.999
623,0.015,33.07142857142858,204.14285714285714,23.714285714285715,94.42857142857143,1780.4285714285713,298236610.5714286,0.08671428571428572,223.42857142857142,140.0,0.029428571428571432,0.3,0.09857142857142857,81.0,75.0,0.4,0.246,0.662,0.093,108208.0,0.93,1195000000.0,1139714285.7142856,1.0010000000000001
624,0.02,40.385714285714286,92533.0,25.0,109.14285714285714,30698.0,67863832648.0,0.036,74.0,301.85714285714283,0.031,0.0,0.081,71.0,68.0,0.0,0.307,0.651,0.042,33003442.0,0.623,112000000.0,255000000.0,1.0
625,0.05,86.14285714285714,9065.0,119.0,138.85714285714286,9004.0,14188949240.0,0.049,45.0,292.7142857142857,0.125,0.0,0.961,49.0,46.0,0.0,0.477,0.498,0.025,15421075.0,0.346,63000000.0,49000000.0,1.0
626,0.041,44.67142857142858,2321.0,32.0,150.71428571428572,2386.0,3557229702.0,0.046,21.0,292.0,0.082,0.0,0.1172857142857143,58.0,55.0,0.0,0.449,0.522,0.028,7665681.0,0.393,108000000.0,53000000.0,0.9990000000000001
627,0.026,51.18571428571429,4265.0,107.0,122.71428571428571,1907.0,7511538765.0,0.043,190.0,298.42857142857144,0.051,0.0,0.164,48.0,47.0,0.2,0.367,0.602,0.031,1832602.0,0.546,459000000.0,235000000.0,1.0
628,0.045,40.57142857142857,1078.0,40.0,134.14285714285714,20212.85714285714,4205691122.0,0.055,19.0,199.28571428571428,0.091,0.0,0.09971428571428573,53.0,51.0,0.0,0.466,0.508,0.026,12659086.0,0.2,38000000.0,50000000.0,1.0
629,0.043,42.68571428571429,165.0,13.0,122.57142857142857,18972.0,784654424.0,0.072,6.0,203.85714285714286,0.082,0.0,0.182,50.0,48.0,0.0,0.468,0.504,0.028,7264340.0,0.089,1200000.0,15000000.0,1.0
